SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532712,REL COM LTD ,A ,Q,23.25,23.35,21.40,21.75,21.75,23.75,7317,8253672,184154970.00,
532713,SAKUMA EXPO ,B ,Q,144.30,146.00,140.00,141.40,141.40,146.10,37,3494,494709.00,
532714,KEC INTERN  ,A ,Q,388.00,393.70,386.00,390.35,387.00,388.15,826,32403,12588874.00,
532715,GITANJALI GE,B ,Q,8.35,8.65,8.35,8.35,8.35,8.75,243,420892,3515536.00,
532716,GILLA ARBUT ,B ,Q,61.15,63.10,60.35,61.80,60.35,62.30,17,1643,101729.00,
532717,INDOTECHTR  ,B ,Q,167.55,172.00,167.50,171.50,171.35,172.30,169,2150,366652.00,
532718,PRATIBHA IND,T ,Q,5.76,5.76,5.71,5.72,5.72,5.91,10,3360,19238.00,
532719,BL KASHYAP  ,B ,Q,40.35,43.30,39.50,42.95,42.95,42.20,254,43096,1797562.00,
532720,M&M FINANSER,A ,Q,470.00,470.00,452.80,461.80,458.00,457.50,2705,2685410,1228739955.00,
532721,VISA STEEL  ,B ,Q,13.30,14.35,13.30,14.15,14.20,13.85,36,6416,88176.00,
532722,NITCO TILES ,B ,Q,99.00,99.00,91.05,92.50,92.50,100.55,594,54136,5097600.00,
532723,MONNETPRO   ,X ,Q,10.71,10.71,10.71,10.71,10.71,11.01,1,95,1017.00,
532725,SOLAR IND   ,B ,Q,1005.05,1077.00,1005.05,1072.90,1072.90,1045.30,91,1344,1437334.00,
532726,GALLAN METAL,T ,Q,39.00,40.65,38.95,39.30,40.65,40.95,13,1810,71474.00,
532727,ADHUNIK MET ,B ,Q,3.43,3.59,3.36,3.52,3.52,3.49,43,24819,85359.00,
532728,MALU PAPER  ,B ,Q,30.00,31.65,30.00,30.00,30.00,30.30,14,1865,56209.00,
532729,UTTAM SUGAR ,B ,Q,98.25,102.50,97.00,98.70,97.00,101.80,215,13542,1353361.00,
532730,STL GLOBAL  ,B ,Q,16.60,17.00,15.90,16.90,16.90,16.90,12,1458,24489.00,
532731,ROHIT FERRO ,B ,Q,2.45,2.45,2.41,2.41,2.41,2.53,26,13467,32623.00,
532732,KEWAL KIRAN ,B ,Q,1489.00,1528.00,1483.00,1521.55,1528.00,1501.55,4,11,16595.00,
532733,SUN TVNET   ,A ,Q,855.05,858.25,837.10,846.65,846.65,863.65,2986,70655,59768646.00,
532734,GODAWARI POW,B ,Q,436.45,440.00,425.05,431.85,431.85,442.00,286,18212,7886621.00,
532735,RSYSTEMINT  ,B ,Q,35.90,36.50,35.60,36.10,35.60,36.55,13,1138,41075.00,
532737,EMKAY GLOB F,B ,Q,153.35,153.35,145.05,147.60,145.05,154.65,133,5874,870061.00,
532738,TANTIA CONS ,T ,Q,11.85,11.90,11.85,11.90,11.90,12.45,5,1530,18147.00,
532740,LOKESH MACH ,B ,Q,51.60,55.45,51.60,54.20,55.40,53.10,82,8957,481444.00,
532741,KAMDHENU    ,B ,Q,249.50,252.80,241.15,242.20,242.20,249.00,37,2731,673362.00,
532742,PAUSHAK LTD ,X ,Q,1310.00,1325.00,1265.00,1286.70,1282.00,1321.70,52,1142,1488514.00,
532744,GTN TEXTILE ,B ,Q,16.35,16.35,15.20,15.20,15.20,15.60,3,820,13395.00,
532745,INDICAP     ,XT,Q,63.00,63.00,60.00,60.05,60.00,61.35,34,5929,366139.00,
532746,UNITY INFRA ,B ,Q,4.15,4.40,4.14,4.24,4.20,4.34,22,11578,49129.00,
532748,PRIME FOCUS ,B ,Q,89.00,89.00,82.15,84.20,84.20,88.80,72,5668,486600.00,
